Wall time,Step,Value
1781110245.050792,49,0.3529411852359772
1781110251.9076564,99,0.3478260934352875
1781110255.7943802,149,0.4285714328289032
1781110259.5281892,199,0.6666666865348816
1781110262.982756,249,0.5600000023841858
1781110266.2465382,299,0.5882353186607361
1781110270.008707,349,0.6086956262588501
1781110273.749057,399,0.6153846383094788
1781110277.3322165,449,0.5333333611488342
1781110280.6244116,499,0.6153846383094788
1781110303.237965,549,0.6000000238418579
1781110306.8952363,599,0.6896551847457886
1781110310.2579076,649,0.5555555820465088
1781110314.0321336,699,0.6666666865348816
1781110317.8019993,749,0.7368420958518982
1781110321.234184,799,0.8571428656578064
1781110324.6810231,849,0.5454545617103577
1781110328.568675,899,0.692307710647583
1781110332.21299,949,0.8333333134651184
1781110335.7325149,999,0.6666666865348816
1781110357.1700928,1049,0.7878788113594055
1781110360.903261,1099,0.6666666865348816
1781110364.3491805,1149,0.7692307829856873
1781110367.9327908,1199,0.800000011920929
1781110371.860172,1249,0.7407407164573669
1781110375.6698298,1299,0.6399999856948853
1781110379.1312673,1349,0.6000000238418579
1781110382.8424382,1399,0.75
1781110386.740614,1449,0.6666666865348816
1781110390.326154,1499,0.9473684430122375
1781110411.5246575,1549,0.6315789222717285
1781110415.5166614,1599,0.7368420958518982
1781110419.3574784,1649,0.8571428656578064
1781110422.9547894,1699,0.6000000238418579
1781110426.698925,1749,0.800000011920929
1781110430.9309933,1799,0.8387096524238586
1781110434.4480262,1849,0.782608687877655
1781110438.114865,1899,0.7200000286102295
1781110441.7734866,1949,0.782608687877655
1781110445.746097,1999,0.625
1781110466.7138612,2049,0.9285714030265808
1781110470.6148958,2099,0.8421052694320679
1781110474.5084424,2149,0.7200000286102295
1781110478.0490925,2199,0.8571428656578064
1781110481.5759614,2249,0.6000000238418579
1781110485.3745198,2299,0.8571428656578064
1781110489.3056538,2349,0.6153846383094788
1781110493.17892,2399,0.7368420958518982
1781110496.8227935,2449,0.800000011920929
1781110500.569845,2499,0.8125
1781110522.1814892,2549,0.8148148059844971
1781110525.9111874,2599,0.761904776096344
1781110530.097792,2649,0.8571428656578064
1781110533.9982727,2699,0.47058823704719543
1781110537.4945905,2749,0.9375
1781110541.2956018,2799,0.625
1781110545.6267335,2849,0.6086956262588501
1781110549.2285008,2899,0.782608687877655
1781110552.8540459,2949,0.7333333492279053
1781110556.6846135,2999,0.625
1781110578.9157505,3049,0.7368420958518982
1781110582.4655902,3099,0.6666666865348816
1781110586.2334049,3149,0.8333333134651184
1781110590.5650856,3199,0.9142857193946838
1781110594.219081,3249,0.9523809552192688
1781110597.812377,3299,0.7272727489471436
1781110601.5702412,3349,0.8695651888847351
1781110605.666063,3399,0.800000011920929
1781110609.3242192,3449,0.8666666746139526
1781110613.0858178,3499,0.7272727489471436
1781110635.3730936,3549,0.699999988079071
1781110639.1945748,3599,0.8695651888847351
1781110642.9382534,3649,0.6666666865348816
1781110646.926358,3699,0.9166666865348816
1781110650.6731958,3749,0.782608687877655
1781110654.3385847,3799,0.761904776096344
1781110658.1992168,3849,0.7407407164573669
1781110662.5334125,3899,0.800000011920929
1781110666.2983963,3949,0.625
1781110670.1443746,3999,0.7368420958518982
1781110692.5838542,4049,0.800000011920929
1781110696.2897449,4099,0.8571428656578064
1781110700.1497886,4149,0.695652186870575
1781110704.0096085,4199,0.7272727489471436
1781110707.9474936,4249,0.7272727489471436
1781110711.6242225,4299,0.8888888955116272
1781110715.2760475,4349,0.6666666865348816
1781110719.349705,4399,0.8333333134651184
1781110723.2509282,4449,0.800000011920929
1781110727.111657,4499,0.8421052694320679
1781110749.7509694,4549,0.625
1781110753.6227121,4599,0.7368420958518982
1781110757.208084,4649,0.7777777910232544
1781110761.0163646,4699,0.8333333134651184
1781110764.965343,4749,0.9473684430122375
